31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /catalog/view/theme/default/stylesheet/img/map-info-bg.png HTTP/1.1" 200 2519 "http://nvision.lt/catalog/view/theme/default/stylesheet/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /catalog/view/theme/default/stylesheet/img/header.png HTTP/1.1" 200 92961 "http://nvision.lt/catalog/view/theme/default/stylesheet/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /catalog/view/theme/default/stylesheet/img/arrow-long.png HTTP/1.1" 200 643 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /image/cache/data/%D0%A2%D0%BE%D0%B2%D0%B0%D1%80%D1%8B/2-80x80.png HTTP/1.1" 200 8633 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /image/cache/data/%D0%A2%D0%BE%D0%B2%D0%B0%D1%80%D1%8B/3-80x80.png HTTP/1.1" 200 3153 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:44 +0300] "GET /image/cache/data/%D0%A2%D0%BE%D0%B2%D0%B0%D1%80%D1%8B/1-80x80.png HTTP/1.1" 200 9716 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:45 +0300] "GET /image/cache/data/%D0%A2%D0%BE%D0%B2%D0%B0%D1%80%D1%8B/4-80x80.png HTTP/1.1" 200 2380 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:45 +0300] "GET /image/cache/data/%D0%A2%D0%BE%D0%B2%D0%B0%D1%80%D1%8B/%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B9%20%D1%84%D0%BE%D0%BD%D0%B0%D1%80%D1%8C-80x80.png HTTP/1.1" 200 6854 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:45 +0300] "GET /catalog/view/theme/default/stylesheet/img/featured-all-logo.png HTTP/1.1" 200 2148 "http://nvision.lt/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
31.172.199.40 - - [05/Sep/2016:15:58:45 +0300] "GET /catalog/view/theme/default/stylesheet/img/standard-arrow.png HTTP/1.1" 200 189 "http://nvision.lt/catalog/view/theme/default/stylesheet/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
